YEAR,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
European Union - 27 countries (from 2020),"20,653","19,917","18,833","22,756","23,328","23,392","23,808","24,358","24,128","24,213"
Belgium,540,516,499,646,604,609,670,762,745,764
Bulgaria,531,561,463,628,610,682,708,708,661,601
Czechia,527,532,518,618,656,577,611,734,688,654
Denmark,154,130,163,199,171,175,211,178,182,191
Germany,"2,788","2,562","2,719","3,046","3,275","3,180","3,206","3,459","3,377","3,339"
Estonia,49,55,59,52,67,48,71,67,78,81
Ireland,155,137,144,140,135,154,182,162,192,188
Greece,654,624,584,688,700,731,824,793,795,879
Spain,"1,746","1,533","1,370","1,755","1,806","1,830","1,810","1,689","1,680","1,667"
France,"3,260","2,931","2,538","3,237","3,246","3,444","3,471","3,459","3,380","3,268"
Croatia,275,292,237,297,317,331,307,348,308,368
Italy,"3,159","2,875","2,395","3,173","3,334","3,378","3,283","3,428","3,381","3,401"
Cyprus,37,45,48,52,49,53,46,57,45,44
Latvia,113,147,139,132,148,136,158,188,212,179
Lithuania,120,148,175,186,173,191,188,242,267,256
Luxembourg,36,24,26,22,36,25,32,36,35,45
Hungary,537,544,460,602,633,625,607,644,626,591
Malta,26,9,12,16,18,19,23,11,10,17
Netherlands,655,509,515,586,598,535,533,531,476,476
Austria,370,362,344,416,409,414,432,479,430,455
Poland,"1,896","2,245","2,491","2,909","2,862","2,831","3,026","2,938","3,202","3,357"
Portugal,618,561,536,688,700,602,563,593,638,637
Romania,"1,633","1,779","1,644","1,864","1,867","1,951","1,913","1,893","1,818","1,861"
Slovenia,85,114,80,102,91,104,130,120,108,125
Slovakia,266,247,247,270,260,276,275,310,295,251
Finland,196,225,223,211,239,238,258,270,229,258
Sweden,227,210,204,221,324,253,270,259,270,260
Iceland,9,9,8,6,18,16,18,16,4,15
Liechtenstein,2,0,1,0,0,2,0,2,3,2
Norway,116,80,93,108,108,106,135,117,147,187
Switzerland,241,200,227,187,233,230,216,253,243,269
United Kingdom,:,:,:,:,"1,839","1,856","1,860","1,804","1,854","1,770"
